Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"The COLDEST Clip ever in Battlefield 2042..","https://youtube.com/shorts/neNf8rj5eAQ",7804878,360027,3811,"SQUiD G+","The BEST Battlefield 2042 clips on YouTube","",2024-08-21 00:15
"Making a normal troll face edit. Pilot Skills 🥶. Battlefield 2042. #trollface #edit #phonk #capcut","https://youtube.com/shorts/onXYWQtca8c",6996539,482638,4350,"ITZAYUSHEDITS","Making a normal troll face edit. Pilot Skills 🥶. Battlefield 2042. #trollface #edit #phonk #capcut #capcutedit #battlefeild #jet #fighterjet #army #soldier #airforce #games #trailer #game #animation #gametrailers #best #bestgame #gameplay #pc #pcgaming #trollfaceedit #music #airplane #song #lyrics #youtube #short #reels #instagram #trending #trend #video #viral #viralvideos    The Clips in this video is from Battlefield 2042 trailer.  Thanks for watching 💕.","games, game trailer, video, song, phonk, music, lyrics, gaming, pc, pc games, battlefield, fighter jet, jet, plane, airplane, pilot, troll, troll face, edit, capcut, YouTube, shorts, Instagram, reels, best, viral video, viral, trending, trend",2024-08-09 16:19
"Veterano de Guerra juega Battlefield calculando la distancia de la bala￼ 🪖🤔 #Shorts","https://youtube.com/shorts/1y74vjQm9MA",6415028,686511,2306,"Energiapersonal","","",2024-07-10 01:12
"Battlefield V Clip #battlefield5 #battlefield5moments #bfv #bfvgameplay #pcgaming #gaming","https://youtube.com/shorts/yNm2b89QHmY",3452457,76345,267,"Cpt. Caty","If you enjoyed the video like and subscribe please! it will make my day.  Join this channel to get access to perks and to support me!: https://www.youtube.com/channel/UCsSX6ymbrM1nFJJjJV1ZkCw/join  Links: Discord: discord.gg/d9KN4MJSgQ Twitch: www.twitch.tv/cpt_catyyt X: x.com/Cpt_Caty BlueSky: www.bsky.app/profile/cpt-caty.bsky.social","",2024-08-07 08:54
"Ranking The Best Batllefield Funny Moments #battlefield #funny #gameplay #shorts","https://youtube.com/shorts/3oijH5EKREk",4455699,131659,628,"teguhprem.","Ranking The Best Batllefield Funny Moments #battlefield #funny #gameplay #shorts   Support this Channel. = Donate for support : https://sociabuzz.com/teguhprem/support  Join Discord untuk komunikasi. • Discord : https://discord.gg/P79CgB4  :D","shorts, shorts viral, game viral, information game 2025, do you know?, you know, viral, viral games, gaming, gta, gta rp, rdr2, videogames, gamenews, gamingcommunity, gamer, gaminglife, gameoftheyear, viralgame, trendinggames, newgames, gamingupdate, gamingcontent, gameplay, pcgaming, consolegaming, openworldgames, actiongames, adventuregames, fpsgames, rpg, gamingtips, gamehighlights, esports, bestgames, fifa, football, viral video, ea games, fc 25, highlights, battlefield, battlefield v, war, funny game",2025-03-12 21:18
"The BEST Quad Feed in Battlefield 2042..","https://youtube.com/shorts/847vdcAbAJk",3214595,126981,451,"SQUiD G+","The BEST Battlefield 2042 clips on YouTube..","",2024-11-08 03:15
"One Man ARMY in Battlefield 2042..","https://youtube.com/shorts/HagIjYFZuRQ",2764514,89429,1125,"SQUiD G+","The BEST Battlefield 2042 clips on YouTube..","",2024-10-29 01:15
"Classic Suav flank in Battlefield","https://youtube.com/shorts/eZUNmSS9MFw",2569172,119214,1215,"DooM49","Epic and Funny Battlefield 4 gameplay moment by @mx4life560 GattlinGun  . A near close jet and helicopter moment of bf4 easteregg. Battlefield4 had by far the best easter eggs and Battlefield 4 theme. Battlefield 2042 trailer made it feel like battlefield 2042 gameplay would be this good. I hope the Battlefield 2042 update of the new season will make it better. Imagine Battlefield 2042 had a campaign #shorts #battlefield #battlefield4  #gaming    Join this channel to get access to perks: https://www.youtube.com/channel/UCMuAor3dRed_IyrkKGzQ69Q/join  Discord: https://discord.gg/doom49 Twitter: http://twitter.com/doom49 Facebook: http://facebook.com/doom49 Instagram: http://instagram.com/doom49 TikTok: http://tiktok.com/@doom49x","Battlefield 1, battlefield 4, battlefield 4 gameplay, easter egg, Battlefield 2042, Battlefield, Battlefield 2042 zero hour, Battlefield 2042 new season, Battlefield 2042 season 1, battlefield 2042 trailer, battlefield 2042 gameplay, battlefield 2042 update, battlefield 2042 campaign, bf2042, bf2042 update, zero hour, zero hour mashup, zero hour gameplay, battlefield mobile, love is a battlefield, battlefield 1, battlefield 5, battlefield friends, doom49",2024-06-23 04:24
"how are these real... #shorts #gaming #gamingshorts #bfv #history #battlefield #forgottenweapons","https://youtube.com/shorts/ozzrqEwwjjU",4102591,113335,806,"Strider","Battlefield V (BFV) is a first-person shooter (FPS) game developed by DICE and published by Electronic Arts (EA). Released in 2018, it is part of the long-running Battlefield series and is set during World War II. The game focuses on large-scale, team-based battles with an emphasis on realism and squad cooperation.  Key Features of Battlefield V: World War II Setting – Unlike previous Battlefield games that focused on modern or futuristic warfare, BFV takes players back to WWII with historically inspired weapons, vehicles, and locations.  Grand Operations Mode – A large-scale multiplayer mode where battles span multiple in-game days, changing objectives and maps as the battle progresses.  Firestorm (Battle Royale Mode) – Introduced later, Firestorm was BFV’s attempt at a Battle Royale mode, featuring a shrinking battlefield and survival mechanics.  War Stories (Single-Player Mode) – Instead of a traditional campaign, BFV offers short, narrative-driven missions based on different perspectives of WWII.  Fortifications System – Players can build fortifications such as sandbags, barbed wire, and tank traps to defend positions.  Attrition System – Players have limited health and ammo, requiring more reliance on teammates and supply stations.  No Premium Pass – Unlike previous games, BFV introduced free post-launch content instead of paid expansions, under the ""Tides of War"" live service model.","Battlefield V, BFV, Battlefield moments, Only in Battlefield, Battlefield gameplay, BFV epic moments, Battlefield V multiplayer, BFV best plays, Battlefield sniping, BFV funny moments, Battlefield explosions, BFV tanks, Battlefield teamwork, BFV war stories, Battlefield V epic battles, BFV intense firefights, Battlefield destruction, BFV squad gameplay, BFV immersive battles, Battlefield parachute moments, bfv history, historical accuracy, bf5 historical weapons",2025-04-05 07:26
"Funny Failed RENDEZOOK in Battlefield 2042..","https://youtube.com/shorts/VVBzszVzhcI",2531492,49468,135,"SQUiD G+","The BEST Battlefield 2042 clips on YouTube..","",2024-12-11 06:15
