Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"Ex-Spec Ops Reacts To Call Of Duty Game","https://youtube.com/shorts/SlFafRdiyok",41159536,2158727,4743,"Tactical Beef","","",2025-03-13 06:30
"Ransom 😈| Warzone Trickshot #shorts","https://youtube.com/shorts/V2PIC-0WqFo",5683841,236557,2087,"𝐋𝐞𝐯𝐢 Warzone","#callofduty #cod  #warzone  #rebirth  #movement #rebirthisland     Call of Duty: Warzone 2.0[b] is a free-to-play battle royale video game developed by Infinity Ward and Raven Software for PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S.[2] It is a sequel to 2020's Call of Duty: Warzone. The game is a part of 2022's Call of Duty: Modern Warfare II but does not require purchase of the parent title. It was introduced during Season 1 of Modern Warfare II content. The game features cross-platform play and a new extraction mode titled DMZ.[3]    bo6, blackops 6, black ops, mw2019, #Warzone #CallofDuty #CoDWarzone","warzone, movement, rebirth island, rebirth movement, movement demon, warzone 2 movement, slide canceling, mw2 demon, mw2 movement, smooth movement, black ops 6 movement, warzone 4, black ops 6 warzone, bo6 warzone, rebirth, wz sniping, sniping, trickshot, warzone trickshot, levi call of duty, levi warzone, levi sniping, levi settings, levi wz",2025-03-17 11:29
"Call of Duty in the Future.. #callofduty #warzone2 #ghosts","https://youtube.com/shorts/5A9FVNOaMxI",5634571,45575,84,"Magic4Eyes","","",2025-04-01 09:01
"A Future Call of Duty… #callofduty #warzone2","https://youtube.com/shorts/HnHouC5H4t0",4851562,58303,120,"Magic4Eyes","","",2025-04-07 09:01
"Realistic Predator Missile in Call of Duty Mobile vs Black Ops 6","https://youtube.com/shorts/3OvrC1QsMfk",5333556,167097,673,"NAITHIK YT","#codm #codmobile #callofdutymobile #shortsfeed #shorts #meme #codmshorts #blackops6 #bo6    Thanks for watching my videos 🫂 much love…  Hope You Enjoy 🥰  Subscribe : ‪​⁠ ​⁠​⁠@NaithikCODMYT   Connect with me on Social Media :   📸 Instagram: https://www.instagram.com/ig.naithik?igsh=MW5yMGlqOGo0MHR5Mw==  🐦 Twitter:  https://twitter.com/ig_naithik  Business inquiries? Contact me at : 📧 naithikytforever@gmail.com  Thank You ‪​⁠​⁠ ‬@callofdutymobile for this awesome game❤️                                      #viralshorts #trendingshorts #codmshortsvideos #callofdutymobileshorts #ytshorts #shortsviral #youtubeshorts #callofduty","",2025-03-30 15:47
"Let Me Know😭 / Best Meta KILO Loadout for Warzone S3!😍 / all skins in bio!⬆  #warzone #callofduty","https://youtube.com/shorts/Uw2r13_e4Ic",5273645,79383,570,"Wu77a","ALL CAMOS, OPERATORS & FINISHERS⭐ in channel bio Socials: MY DISCORD : https://discord.gg/x4BzZsXUtv TWITCH : https://www.twitch.tv/wu77a TWITTER : https://x.com/WU77A TIKTOK : https://www.tiktok.com/@wu77a?is_from_webapp=1&sender_device=pc INSTAGRAM : https://www.instagram.com/wu77a/   #cod #warzone #rebirth #movement #settings #warzonesettings #twitch #streamers #classsetups #mw3 #modernwarfare #warzonemovement #warzone3  #mwiii #warzonegameplay #smooth #movementguide #rebirthisland #season3   Tags: WarZone 3, Rebirth Island, Killing Twitch Streamers in Mw3, Killing Twitch Streamers, wu77a Vs Twitch Streamer, Movement, controller, controller sensitivity, wu77a warzone, controller movement, warzone settings, best mw3 settings, best controller settings, best controller settings, best control settings, guide, Hacking, Aimbot, Warzone, Rebirth, Resurgence Rebirth,  Resurgence, Walls, Hacks, Cheating, modern warfare hackers, modern warfare cheaters, Controller aim, aim assist, aim curve, dynamic aim curve, scale aim assist with FOV, scale aim assist with FOV disabled, do not use scale aim assist with FOV enabled, low sensitivity, ice skating movement, movement for SnD, 240 hz, 120 FOV, Call of Duty Modern Warfare, Controller, Youtuber, best controller settings, controller settings, rebirth settings, warzone settings, best warzone settings, best movement settings, settings for warzone, max sensitivity controller settings,  movement, wu77a settings, the real movement king Youtuber, wu77a filters, best nvidia filter settings, nvidia filters, warzone nvidia filters, nvidia filters for warzone, best warzone filters, best mw3 settings, best mw3 beta, mw3 movement, mw3 beta movement, mw3 beta, ram-9 class, bp50 class, max mobility, max mobility class setup, solo squads,Movement, controller, controller sensitivity, wu77a warzone, controller movement, warzone settings, best warzone settings, best controller settings, best controller settings, best control settings, guide, Hacking, Aimbot, Warzone, Rebirth, Resurgence Rebirth,  Resurgence, Walls, Hacks, Cheating, modern warfare hackers, modern warfare cheaters, Controller aim, aim assist, aim curve, dynamic aim curve, scale aim assist with FOV, scale aim assist with FOV disabled, do not use scale aim assist with FOV enabled, low sensitivity, ice skating movement, movement for SnD, 240 hz, 120 FOV, Call of Duty Modern Warfare, Controller, Youtuber, best controller settings, controller settings, rebirth settings, warzone settings, best warzone settings, best movement settings, settings for warzone, max sensitivity controller settings, show settings, wu77a movement, wu77a settings, wu77a, the real movement king Youtuber, wu77a filters, best nvidia filter settings, nvidia filters, warzone nvidia filters, nvidia filters for warzone, best warzone filters   #callofduty  #tiktok #mw3 #rebirthisland #viral #fyp #cod #fortnite  modern warfare 3 warzone gameplay, modern warfare 3 warzone update, modern warfare 3, warzone slide cancel, mw3 warzone 3 slide cancel, mw3 warzone 3 movement, mw3 warzone 3 twitch streamers, rebirth island warzone, warzone rebirth island, vondel warzone, warzone vondel, warzone 3 gameplay, best loadout warzone 3, warzone 3 best loadout, warzone 3 loadout, vondel warzone 3, warzone 3 vondel, best loadout warzone, warzone best loadout, warzone","warzone, mw3, call of duty, rebirth island, class setup, warzone meta, warzone 3, warzone 4, modern warfare, warzone settings, graphic settings, warzone streamers, cod",2025-04-16 03:12
"Call of Duty Game Had PREDICTED Something INSANE! Predictive Programming #shorts","https://youtube.com/shorts/hTp6PWa6hCc",3237059,178324,805,"FactTechz","China stopped the export of REM, rare earth minerals. This matched the plot of COD game.  Subscribe for more educational content and unlock knowledge every day with FactTechz!","facttechz, cod, call of duty, video game, cod mobile, china, rare earth minerals, youtube shorts, short video, fact, facts, hindi, short fact video, amazing facts, facts in hindi, हिंदी, वीडियो, random facts, fun facts, interesting facts, mobile, mobile tower, red, short hindi video, general knowledge, gk, science, knowledge, information, entertainment, infotainement, exam questions, neet",2025-04-12 07:49
"That One Call of Duty Mission From MW2..","https://youtube.com/shorts/JeRmikI6en4",2366527,184780,2093,"NeverMyFault","That One Call of Duty Mission From MW2..  #shorts #shortsvideo #funny","",2025-03-03 07:00
"Movement will never make you a pro player🤣 #codm #codmobile","https://youtube.com/shorts/3XI7akFMHPU",3226600,82227,950,"BabyShark","","",2025-03-04 01:30
"call of duty before selling out.. #callofduty #cod","https://youtube.com/shorts/ituk-EwAeTw",2105716,129966,7163,"terrible panda","","",2025-03-06 10:00
