Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"行くぞ！ＩＱ２００空中ポータル！ｗｗｗｗｗｗ [APEX] #shorts","https://youtube.com/shorts/5Ns50GQMJBg",2061617,16456,57,"ハチミツapex","#apex #apexlegends #エーペックスレジェンズ","#apex, #apexlegends, #エーペックスレジェンズ",2025-04-20 18:00
"SPARROW MOVEMENT IS CRAZY 😲","https://youtube.com/shorts/xvZP2hpugiU",1583965,27955,315,"The Gaming Merchant","SPARROW MOVEMENT IS CRAZY  😲 #shorts","Apex Legends, Apex, Play Apex",2025-05-07 20:54
"【30秒で撃ち合いが強くなる】最強の撃ち方3選 #apex #エーペックス #shorts #apexlegends","https://youtube.com/shorts/am5Z1PSQ82c",1039742,26861,184,"みっきー@APEXコーチ","","",2025-05-24 20:43
"【Apex Legends】　ホライゾンクビになる　 #shorts","https://youtube.com/shorts/WMNlee6BlOg",1369915,13415,194,"ぺんぎんです","#エーペックスレジェンズ #エーペックス 編集を参考にさせていただいた方 @おぐみちゃん","",2025-05-10 16:39
"ボセックが僕の知ってるボセックじゃ無くなった件ｗｗｗｗｗｗ [APEX] #shorts","https://youtube.com/shorts/CxeuUwr1VyA",1080797,9361,77,"ハチミツapex","#apex #apexlegends #エーペックスレジェンズ","#apex, #apexlegends, #エーペックスレジェンズ",2025-05-08 06:30
"【APEX】敵が攻めてきても蘇生を続けるニューキャッスル！ #エーペックス #蘇生 #ニューキャッスル #APEX #short #shorts","https://youtube.com/shorts/eK8KBZmy07I",1101662,9538,178,"てこん","","",2025-05-24 20:01
"【APEX】カスタムで魅せた最強ソロヴァルキリー #shorts #エーペックス #APEX #apexlegends #エーペックスレジェンズ","https://youtube.com/shorts/fI-3mS5yP40",1030274,7907,84,"結城ゆきる","最強  －－【 結城ゆきる 】－－－－－ バンド解散して暇になったVtuberです。 どんな人でもコメントしやすく、前向きで楽しい配信を目指しています！ 調子に乗るとお酒を飲むし、失敗もしますが、それも楽しく見てくれたら嬉しいです！   I'm a Vtuber who has a lot of free time after the band disbanded. Anyone can feel free to comment and we aim for positive and fun content! There are times when I get carried away and drink alcohol, and I make mistakes, but I hope you enjoy it too! （sorry. I can only speak Japanese）     －－【 活動詳細 】－－－－－－  「 X（旧：Twitter）」配信予定など情報多いです。絶対フォローして！ メイン　https://twitter.com/VT_yukiru 日常用　https://twitter.com/VT_yukirun  「歌ってみた専用チャンネル」 https://www.youtube.com/@yukiru_music  「Twitch」 https://www.twitch.tv/vt_yukiru 大画面配信はここで見れます。    －－【活動を支援してくださる方へ】－－－  「メンバーシップ」 https://www.youtube.com/channel/UCQtGDPD7wDhwXXdmEL68Tqw/join 月額500円　スタンプが使えるようになります！  「欲しいものリスト」https://www.amazon.co.jp/hz/wishlist/ls/P02PLVKZZ8FF 食べ物・飲み物など。一緒に送れば好きなものも送れます！  「FANBOX」https://vt-yukiru.fanbox.cc/ プラン別。１対１の通話できます。秘密の音源と動画も。 また還元率が高く、支援していただいたお金のほとんどが配信者に届きます！ みんなのおかげで活動を長く続けることができています！ありがとう🙏♥  「どねる（Doneru）」https://doneru.jp/yukiru 還元率が高く、支援していただいたお金のほとんどが配信者に届きます！ ご協力していただける人のおかげで活動を長く続けることができています！    －－【 結城ゆきるの活動を支援してくれている企業様 】－－－  「PC SHOP NORTH」https://twitter.com/pcshop_north https://north-pcshop.com/ 高品質・低価格　１つ１つのパーツをオーダー可能 オリジナルゲーミングPCを制作してくれます。 ゆきるの紹介で割引があります。 相談はXのDMへよろしくお願いします！  「JAPANNEXT」https://twitter.com/japannext1 液晶モニターの製造会社様です ゲーミングのみならずずモバイルモニター、 デジタルサイネージなど多種多様な品ぞろえで展開しています 15% off クーポンコード：NORTHCODE   #エーペックス #apex #結城ゆきる","エーペックスレジェンズ, エーペックス, エペ, APEX, APEX LEGENDS, 新シーズン, バグ, ゲーム実況, 結城ゆきる, ゆきる, ゆうきゆきる, ゆいしろゆきる, るっつ, るっ's, Mildom, ゲーム配信, ホラゲー配信, 面白, エペモバ, プレデター, ランクマ, ランクマッチ",2025-03-08 18:00
"野良VCが豹変！変態すぎる最強の一言ww【APEX】#shorts","https://youtube.com/shorts/nm3nlyb-5zE",790900,16212,123,"よなか","#apex　#Vtuber　#shorts　#APEX女子　#APEXLegends　#野良VC　   最新のお知らせはこちらから twitter ▶ よなか👻（ https://twitter.com/yonaka_Vtuber ）","ゲーム実況, 女性実況, ゲーム, よなか, Vtuber, APEXLegends, エーペックスレジェンズ, エペ, APEX女子, ドッキリ, FPS, バグ, 害悪行為, かわいい, 師匠, 弟子, けんちゅー, 歌ってみた, 野良, ランク, ソロランク, APEX, ホロライブ, にじさんじ, 野良vc",2025-05-03 18:01
"ブチギレ野良に出会う配信者の末路www【APEX LEGENDS】#shorts #りー","https://youtube.com/shorts/TD90J57qn_M",928159,13637,633,"りーえふぴーえす。","#apexlegends #apex #エーペックスレジェンズ #エーペックス","エーペックスレジェンズ, apex, apexlegends, エーペックス, プレデター, キーマウ, りー, Riy, りーえふぴーえす。, ゲーム実況, 配信者",2025-05-19 23:35
"野良にキレられる配信者www【APEX LEGENDS】#shorts #りー","https://youtube.com/shorts/cmhWrFXdzEw",797069,16036,260,"りーえふぴーえす。","#apexlegends #apex #エーペックスレジェンズ #エーペックス","エーペックスレジェンズ, apex, apexlegends, エーペックス, プレデター, キーマウ, りー, Riy, りーえふぴーえす。, ゲーム実況, 配信者",2025-04-02 23:53
