Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"Valorant but it's ONLY Ultimates","https://youtube.com/shorts/KvOx_vBePH8",7427681,326868,2088,"tarik","Tarik reacts to a match between EG vs PRX during VCT Champs 2023 and is shocked by what happened.  Ayooo! Thank you for giving my video a look. If you enjoy my content, be sure to hit that subscribe button. Links to social below:  My Daily Thoughts ► https://twitter.com/tarik The Rare Picture ► https://www.instagram.com/officialtarik/ Watch Me Live ► https://www.twitch.tv/tarik Chat With The Community ► https://www.discord.gg/tarik Short And Funny ► https://www.tiktok.com/@therealtarik All Links ► https://linktr.ee/tarik  #shorts #sentinels #valorant","tarik, csgo, cs:go, counter-strike, twitch, optic tarik, rage, tarik stream highlights, tarik stream csgo, tarik stream funny, tarik twitch highlights, twitch highlights, tarik csgo, tarik twitch, tarik csgo channel, tarik csgo highlights, best of tarik, best of tarik csgo, tarik stream, tarik optic, tarik eg, tarik mibr, mibr tarik, nrg tarik, valorant champions, valorant champions 2023, prx something, something valorant",2023-09-07 10:47
"Top 5 Vandal Skins in VALORANT 👑","https://youtube.com/shorts/kzgezInsM3Q",6028194,302187,3725,"nikimii","Top 5 Vandal Skins In VALORANT 👑  Join us as I don't team up with some of the top Radiant ranked streamers for an epic night of chaos and fun on Valorant! Our all-star lineup of streamers will be bringing their A-game (not me, nikimii or nik) as they take on the competition and showcase their skills on the battlefield. With high-level gameplay, hilarious moments, and non-stop action, you won't want to miss this exciting stream. Don't forget to like, subscribe, and turn on notifications so you never miss an episode! #Valorant #Radiant #ranked #streamers #chaos #nik","valorant, valorant clips, valorant gameplay, jett, reyna, TenZ, Zellsis, Tarik, Sentienls, nikimii, Vandal valorant, valorant montage, valorant edits, valorant headshots, valorant tutorials, iron to radiant, root valorant, offlinetv valorant, otv valorant, disguisedtoast val, dreamsmp valorant, valorant gun upgrade, gun upgrade kill, valorant gun game, csgo gun game, csgo clips, csgo or valorant, iitztimmy valorant, classic to immortal, speedrun to radiant, valorant speedrun, raze",2024-01-31 20:00
"The CALMEST calm aim clip in Valorant..","https://youtube.com/shorts/BQXjgKWDIzw",5183295,256368,1184,"Rawzu","Make sure to leave a like, subscribe and turn on notifications so you don't miss a video! ❤️  ► Second Channel: https://www.youtube.com/rawzuv2 ► Join my discord! https://discord.com/invite/rawzu (E-kittens packed) ► Spotify playlist: https://bit.ly/3LxfFEv (yes, that's my music lol) ► Twitter: https://twitter.com/Rawzuu ► Business inquiries: rawzubusiness@gmail.com  Phoenix is an offensive VALORANT agent, who specializes in hunting down enemies, while crippling their ability to fire back. The Blaze ability creates walls that blocks vision and deals damage, allowing Phoenix to sneak past defended open areas, while Curveball blinds enemies, even if they're hinding behind corners. In combination, Hot Hands and the Run it Back ultimate make Phoenix a very durable duelist and players who like to play aggressively will really enjoy this agent's gameplay  #valorant​ #phoenix​ #rawzu","Valorant stretched, Rawzu, Rawzu movements, Valorant Rawzu, valorant, valorant phoenix, phoenix valorant, phoenix, valorant gameplay, valorant highlights, Phoenix plays, Valorant phoenix plays, immortal phoenix, phoenix main, valorant crosshair, valorant 1440x1080, valorant skins, valorant 0% recoil, kuronami vandal, kuronami 0% recoil, kuronami, kuronami bundle, kuronami gameplay, lotus, valorant lotus, valorant icebox, icebox, valorant new episode, valorant moments",2024-04-18 16:12
"Reyna can basically dash now...","https://youtube.com/shorts/foflM_1pomw",4650733,125012,728,"Kanga","Reyna's movement speed is crazy after the dismiss change in Patch 8.11... #Valorant #Shorts #Reyna  - Tags: valorant,shorts,valorant shorts,reyna,valorant reyna,reyna buff,valorant reyna buff,valorant reyna change,reyna dash,reyna can basicalyl dash now","valorant, shorts, valorant shorts, reyna, valorant reyna, reyna buff, valorant reyna buff, valorant reyna change, reyna dash, reyna can basicalyl dash now",2024-06-12 00:21
"Bro thinks I'm Random.  #valorant #deadlock","https://youtube.com/shorts/Pboy9cUGZiU",6538796,238778,880,"Reedlock","Live Almost Everyday: https://www.twitch.tv/reedlock23  VatanGame İndirim: https: //www.vatangame.com/vatangame-davet/578364  Deadlock Lineups Here: https:https: //discord.gg/KWH9HZ7Qk2 Twitch: https://www.twitch.tv/reedlock23 Instagram: https://www.instagram.com/reedlock23 TikTok: https://www.tiktok.com/@reedlock23  SETTINGS: Sens: 0.23 @ 800dpi Resolution: 1920x1080 Crosshair: 0;p;0;s;1;P;c;5;u;000000FF;h;0;0t;1;0l;20;0v;0;0g;1;0o;5;0a;1;0f;0;1l;0;1v;10;1g;1;1o;5;1a;1;1m;0;1f;0;A;o;1;d;1;0b;0;1b;0;S;c;0;s;0.591;o;1  Welcome to my Sending People to Heaven with Deadlock Lineups video! In this video, I'll be showing you how I tackle intense situations and make the most of Deadlock's unique abilities. If you've ever found yourself deadlocked in tough moments, my gameplay and tips will help you break through. I’ll cover strategies, playstyles, and how to maximize the power of the deadlock. Plus, I’ll share some of my go-to valorant lineups to give you a tactical advantage. This video serves as a comprehensive Deadlock Valorant guide to boost your skills and help you dominate your next match. Dive in and watch how I master Deadlock to bring my team to victory!  #valorantclutchmoments #valorantclips #deadlock #gaming  #valorantgaming   İyi seyirler.","valorant, valorant mobile, valorant crosshair, valorant console, valorant champions 2024, valorant crosshair codes, valorant ps5, valorant clove, deadlock valorant, deadlock valorant guide, deadlock guide valorant, how to play deadlock valorant, vyse valorant, valorant deadlock, gekko valorant, neon valorant, valorant map, chamber valorant, reyna valorant, valorant gameplay, valorant esports, crosshair valorant, valorant edit, omen valorant, valorant new bundle",2025-03-17 18:29
"癖で無意識にVCボタン押しっぱにしちゃう時あってセルフVCバグ起こるのグロすぎる#shorts","https://youtube.com/shorts/07-pnVPI9e8",4112507,154670,235,"MARUTAKE","Twitchで配信してます→https://www.twitch.tv/marutake_a Twitter►https://x.com/A_Marutake #valorant  ______","VALORANT, ヴァロラント, まるたけ, MARUTAKE, GAME, FPS, 初心者, 方法, やり方, ゲーム実況, 感度, 切り抜き, 小技, VC, コンペ, 野良",2024-06-05 18:00
"tenz explains how to play better in valorant","https://youtube.com/shorts/9Eh5WOC_aFk",4010465,197710,605,"Kyedae","📺 https://www.twitch.tv/kyedae  Follow my Socials  🐥 https://www.twitter.com/kyedae 📸https://www.instagram.com/kyedae 🌟 Discord : https://discord.gg/TNYCJB5wcr business email: teamkyedae@unitedtalent.com    #Kyedae #valorant #tenz","",2023-03-20 05:48
"when valorant players try CS2","https://youtube.com/shorts/bx6XreSY_4w",3782968,158750,1802,"QuarterJade","FOLLOW ME     Twitch ➜ https://www.twitch.tv/QuarterJade     YouTube (2nd channel) ➜ https://youtube.com/justjodi     Instagram ➜ https://www.instagram.com/QuarterJade     Twitter ➜ https://www.twitter.com/QuarterJade     Discord ➜ https://discord.gg/QuarterJade     TikTok ➜ https://www.tiktok.com/@quarterjade    WATCH NEXT      Best of QuarterJade ➜ https://www.youtube.com/playlist?list=PL2f98hy8eIXq6y_-mvLwH_MZkiX5vvbL9      Among Us ➜ https://www.youtube.com/playlist?list=PL2f98hy8eIXrjuzgaxQop6Zx6iHa8YHry      Valorant ➜ https://www.youtube.com/playlist?list=PL2f98hy8eIXr4KRVwynI1bUghZ-IEu8cO      League ➜ https://www.youtube.com/playlist?list=PL2f98hy8eIXo5LB6EEvZaR9Ozfff-L3i2      Variety Games ➜ https://www.youtube.com/playlist?list=PL2f98hy8eIXp8u75XeHKhttSk2aac6mQQ      Vlogs ➜ https://www.youtube.com/playlist?list=PL2f98hy8eIXqC69CtfH1H8gb-RgCbQwFT  #quarterjade #sydeon #starsmitten #counterstrike #cs2 #valorant","quarterjade, jodi, valorant, offlinetv, otv, otv & friends, jett, phoenix, masayoshi, twitch, best of quarterjade, clips, best moments, gameplay",2023-10-02 02:52
"How To Double Rank Up In Valorant","https://youtube.com/shorts/Uo7z6vu9fN8",3615454,172946,1540,"MrLowlander","Another #shorts #short whoop whoop!  🔴 - Vlogs: https://www.youtube.com/c/Emardo2 🎵 - Spotify: https://open.spotify.com/user/emardo2?si=47479bec3b0440a5&nd=1 🎮 - Twitch: https://www.twitch.tv/mrlowlander 🐦 - Twitter: https://twitter.com/mrlowlander 🐠 - Discord: https://discord.gg/mrlowlander 📸 - Instagram: https://www.instagram.com/mrlowlander/ 🎓 - TikTok: https://www.tiktok.com/@mrlowlander  ------------------------------------------------------------- Affiliate links: Razer (12 button) mouse: https://amzn.to/3zxAfwq Razer Blackwidow keyboard: https://amzn.to/3ytYtGE Razer Blackshark headset: https://amzn.to/3DvCAe0 Good BenQ monitor: https://amzn.to/3zISDCZ Second monitor: https://amzn.to/3DtBIqb Hercules speakers: https://amzn.to/38srMiu Logitech webcam: https://amzn.to/2Wxw3ii Big keylight: https://amzn.to/3zHpmIs Canon m50 camera: https://amzn.to/3yoXFD7 -------------------------------------------------------------  🎬 BEST OF LOWLANDER: https://www.youtube.com/playlist?list=PLtVM2kjCTMPViO2uN52gXqywJVvNzGuNi   🎬 VALORANT TIPS AND TRICKS: https://www.youtube.com/playlist?list=PLtVM2kjCTMPWUtWF6Tocs565gvFnK2fsp 🎬 VERTICAL SHORTS: https://www.youtube.com/playlist?list=PLtVM2kjCTMPXgDImf0ifNs_qBjfOjSmn_","valorant, #shorts, #short, valorant tips, valorant tricks, valorant rank, valorant ranked, valorant rank tips, valorant rank tips and tricks, valorant rank up fast, valorant rank up faster, valorant double rank up, rank up valorant, valorant competetive, valorant competetive tips, valorant gameplay, valorant new act, valorant act 2, valorant new agent, valorant new buddy, valorant eggwick, keeoh, and howtonoodle, are good",2023-05-21 19:09
"How to make a Recoil Crosshair 🗿","https://youtube.com/shorts/u1CYRrGvYR4",6960877,159337,728,"Centerpoint Gaming","#crosshairx #valorant #valorantcrosshair #aimtraining","",2025-05-02 02:30
