Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"Girls Vs Boys 🍻 #youtubeshorts #1tranding #game #challenge #girlboy #ff #pubg #fun #gameplay #shorts","https://youtube.com/shorts/wWAM6DesA-g",34656690,0,83,"Shyamsundar Vidyasankul","","",2025-03-31 13:51
"Funny clips 😂🔥 @rameshmaity0 @adarshuc #funny #reaction #bgmi #pubg #new #omegle","https://youtube.com/shorts/OkidW20LBPs",17713026,450234,167,"TrOsY YT","","",2025-04-16 23:44
"ABONE OLARAK BANA DESTEK OL #pubgmobile #pubgm24 #pubg #pubgilover #bgmi #papci #gaming #pubgm","https://youtube.com/shorts/wC8zNGniUrI",18438057,284492,552,"EMO","","",2025-04-12 23:23
"Free Fire Vs Pubg 😎🔥 | #freefirevspubg #freefire #pubg #shorts","https://youtube.com/shorts/xVhqw5V6MPI",15021461,182140,917,"Rabbani Bhai ","Free Fire Vs Pubg 😎🔥  ___________________/  Keyword Suggestions  👇  ___________________/  free fire vs pubg free fire vs pubg attitude video free fire vs pubg song free fire vs pubg movie free fire vs pubg fight free fire vs pubg emote free fire vs pubg mobile free fire vs pubg video free fire vs pubg status free fire vs pubg funny video free fire vs pubg animation free fire vs pubg attitude short video free fire vs pubg attitude boy alight motion video editing free fire vs pubg ajju bhai free fire vs pubg  ___________________/  Tags​:-  👇 ___________________/  #freefirevspubg​​ #freefirespecialstatus​​ #pubgattitudestatus​​ #pubgattitude​​ #freefirevspubgattitudeboy​​ #freefirevspubgsong​​ #freefirevspubgvideo​​ #trendingshorts​​ #lovestatus​​ #rabbanibhai​​ #shorts  ___________________/   My Channel  👇 ___________________/  PLEASE ➤ SUBSCRIBE ➤ ‎⁨‪@Rabbani_Bhai_1‬​  ___________________/          This Is Video Only For Entertainment                          Enjoy This Video","free fire vs Pubg, pubg vs free fire, free fire special status, pubg attitude status, free fire, pubg",2025-05-05 21:01
"Can a manhole be used as a bullet proof shield?","https://youtube.com/shorts/DcPLbcO_uWc",14073192,0,20,"Universal SID","","",2025-05-12 04:50
"Payal gaming roast kiya Ajju bhai ko #bgmi #shortfeed #pubg  #trending  #shorts #funny #ajjubhai","https://youtube.com/shorts/El5HxfJ_wnw",13803707,228283,1016,"YouTubeLucky","Payal gaming roast kiya Ajju bhai ko #bgmi #shortfeed #pubg  #trending  #shorts #funny #ajjubhai","bgmi create opening today, bgmi create opening tips and tricks, bgmi create opening jonathan, pubg mobile create opening, pubg mobile crate opening trick, pubg mobile crate opening glacier, Pubg Mobile funny video, PUBG MOBILE best funny videos, BGMI best funny videos, PUBG MOBILE next update kab aayega, Pubg Mobile next rp kab aayega, Bgmi ka next rp kab aayega, Bgmi ka next update kab aayega, Bgmi Next ultimate suit, PUBG MOBILE new ultimate suit, BGMI aur pubg new gun skin",2025-03-16 11:30
"Chiến Thuật P19 #pubg #troll","https://youtube.com/shorts/BzmvRmse8BA",6947618,94644,174,"Shin Bút Bi","#pubg #pubgmobile #troll #shinbutbi  🔥 PUBG Vui Nhộn – Chết Cũng Phải Cười! 🔥  Chào mừng đến với kênh PUBG hài hước nhất hệ mặt trời! 🌍 Ở đây, chúng tôi không chỉ bắn mà còn tấu hài cực mạnh, từ những pha ""loot đồ xịn nhưng chết ngay"" cho đến ""sống sót thần kỳ với chảo thần thánh""! 🥘💥 Đặc biệt là những pha diệt fan cực Mấ* Dạ*😆  Nếu bạn thích highlight lầy lội, combat cực cười và những pha troll đồng đội đi vào lòng đất, thì ấn ngay nút Đăng Ký – vì ở đây, vui vẻ là chính, top 1 là… hên! 😆🎮  #pubg #pubgmobile #troll #shinbutbi","",2025-03-08 10:00
"New 5x scope 🤡🐸🤢","https://youtube.com/shorts/gias1rwC594",5954852,285225,1895,"YouTube Faith","‎#PUBGMNextStarProgram ‎#PUBGMOBILE  ‎#PUBGMOBILEC8S23 ‎#teamPUBGM #YouTubeFaithPUBG ‎ ‎ ‎deeplink ‎https://sg.creatorhub.pubgmobile.com/t/v09bOD","",2025-03-30 17:48
"TİTAN VS GODZİLLA ☠️","https://youtube.com/shorts/ZXozsQGAenU",8103472,172112,2689,"ASTRO PM","pubg mobile indirme linki :https://play.google.com/store/apps/details?id=com.tencent.ig&referrer=adjust_reftag%3DcTjHf1qHsOt7H%26utm_source%3DHQ-POST%26utm_campaign%3DNextStar_95178bce6c2b768d1da8b4b057956b0c  https://sg.creatorhub.pubgmobile.com/t/CiOL9b  reklam ve işbirliği için : astropmgaming@gmail.com  Ayrıcalıklardan yararlanmak için bu kanala katılın: https://www.youtube.com/channel/UC27trcKV4FK1iZ1QyOgde-w/join #astropm #astro #pubgmnextstarprogram #pubgmobile #pubgmobilec8s23","#ASTRO, #pubgmobile, #indian, #pubg, #astropm, #astroo, #pubgstar",2025-05-10 21:51
"BGMI Player 🤡 Free Fire player ☠️ #shorts #freefirevspubg #pubgvsfreefire","https://youtube.com/shorts/ao8dKth4VC4",8232141,373226,1996,"ROASTER FF","BGMI Player 🤡 Free Fire player ☠️  #shorts #freefire #freefirevsbgmi #freefirevspubg #pubgvsfreefire #bgmivsfreefire #trending #pubg #bgmi #viralshorts #freefirevspubgviralshorts   @YellowStarGaming  @FreeFireIndiaOfficial  @PUBGMOBILE        free fire vs bgmi free fire vs pubg  pubg vs free fire  bgmi vs free fire  short free fire free fire India When a Free Fire player plays PUBG free fire copy game kya free fire pubg se copy karta hai?  reality of free fire pubg cartoon game free fire cartoon game new rosting video on pubg new rosting video by free fire  free fire rosting by Pubg player  new rosting video on free fire yellowstar gaming trending viral free fire vs Pubg ff vs Bgmi new controversy free fire vs pubg   NOTE :- For Removal of Any Clips & News You Can Directly contract Us Though Mail or Massaging Me On Instagram,  Will Resolve Very Soon... ❤🙏   DISCLAIMER: Please don't go out of your way to hate on anyone I talk about in my videos, this channel is to entertain people and I usually focus on joking about what the people are doing not the individual themselves, also here if I discuss any social topic my aim is just to make people understand it in an entertaining way, here I express my point of view over certain things and I totally respect everyone else's belief, please don't spread hate it's all for laughs and entertainment.   Copyright Disclaimer- Copyright Disclaimer under section 107 of the Copyright Act of 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a use permitted by copyright status that might otherwise be infringing.","shorts, free fire, pubg, bgmi, youtube shorts, ff vs pubg, free fire vs pubg, viral shorts vedio, trending, free fire vs bgmi, new controversy free fire vs pubg, pubg vs free fire, bgmi vs free fire, reality of free fire, yellowstar gaming, kya free fire pubg se copy karta hai?",2025-04-12 15:30
